time	current	voltage
0	-3.67394039744e-14	-70.0
1	-0.188514299	-70.0003770286
2	-0.377027928065	-70.0011276274
3	-0.56554021726	-70.0022483722
4	-0.754050496656	-70.0037358728
5	-0.942558096333	-70.0055867718
6	-1.13106234638	-70.007797744
7	-1.31956257689	-70.010365496
8	-1.50805811798	-70.0132867654
9	-1.69654829979	-70.0165583203
10	-1.88503245246	-70.0201769583
11	-2.07350990616	-70.0241395064
12	-2.26197999109	-70.0284428203
13	-2.45044203747	-70.0330837834
14	-2.63889537555	-70.038059307
15	-2.82733933561	-70.0433663289
16	-3.01577324796	-70.0490018138
17	-3.20419644296	-70.054962752
18	-3.39260825099	-70.0612461593
19	-3.58100800248	-70.0678490764
20	-3.7693950279	-70.0747685684
21	-3.95776865777	-70.0820017245
22	-4.14612822264	-70.0895456573
23	-4.33447305315	-70.0973975027
24	-4.52280247994	-70.105554419
25	-4.71111583375	-70.1140135869
26	-4.89941244535	-70.1227722089
27	-5.08769164558	-70.1318275088
28	-5.27595276533	-70.1411767316
29	-5.46419513558	-70.150817143
30	-5.65241808735	-70.1607460287
31	-5.84062095174	-70.1709606947
32	-6.02880305993	-70.1814584664
33	-6.21696374315	-70.1922366883
34	-6.40510233273	-70.2032927241
35	-6.59321816006	-70.2146239559
36	-6.78131055664	-70.226227784
37	-6.96937885401	-70.2381016269
38	-7.15742238383	-70.2502429205
39	-7.34544047784	-70.2626491183
40	-7.53343246787	-70.2753176907
41	-7.72139768583	-70.288246125
42	-7.90933546374	-70.301431925
43	-8.09724513371	-70.3148726107
44	-8.28512602795	-70.3285657184
45	-8.47297747879	-70.3425087999
46	-8.66079881864	-70.3566994226
47	-8.84858938002	-70.3711351692
48	-9.03634849558	-70.3858136376
49	-9.22407549806	-70.4007324404
50	-9.41176972032	-70.4158892049
51	-9.59943049534	-70.4312815728
52	-9.78705715622	-70.4469072002
53	-9.97464903618	-70.4627637569
54	-10.1622054686	-70.4788489267
55	-10.3497257868	-70.4951604073
56	-10.5372093246	-70.5116959095
57	-10.7246554155	-70.5284531576
58	-10.9120633935	-70.5454298889
59	-11.0994325926	-70.5626238539
60	-11.2867623469	-70.5800328157
61	-11.4740519907	-70.59765455
62	-11.6613008584	-70.6154868453
63	-11.8485082845	-70.6335275021
64	-12.0356736037	-70.6517743335
65	-12.222796151	-70.6702251643
66	-12.4098752613	-70.6888778315
67	-12.5969102698	-70.7077301839
68	-12.7839005118	-70.7267800819
69	-12.9708453229	-70.7460253975
70	-13.1577440385	-70.7654640143
71	-13.3445959946	-70.7850938271
72	-13.5314005271	-70.8049127421
73	-13.7181569721	-70.8249186764
74	-13.904864666	-70.8451095585
75	-14.0915229453	-70.8654833275
76	-14.2781311466	-70.8860379335
77	-14.4646886067	-70.9067713375
78	-14.6511946626	-70.9276815111
79	-14.8376486517	-70.9487664362
80	-15.0240499112	-70.9700241058
81	-15.2103977787	-70.9914525228
82	-15.396691592	-71.0130497007
83	-15.582930689	-71.0348136633
84	-15.769114408	-71.0567424447
85	-15.9552420871	-71.078834089
86	-16.1413130651	-71.1010866504
87	-16.3273266806	-71.1234981933
88	-16.5132822725	-71.146066792
89	-16.6991791801	-71.1687905306
90	-16.8850167427	-71.1916675033
91	-17.0707942999	-71.214695814
92	-17.2565111915	-71.2378735763
93	-17.4421667574	-71.2611989136
94	-17.6277603379	-71.2846699591
95	-17.8132912735	-71.3082848555
96	-17.9987589048	-71.332041755
97	-18.1841625727	-71.3559388197
98	-18.3695016183	-71.3799742209
99	-18.5547753829	-71.4041461395
100	-18.7399832083	-71.428452766
101	-18.925124436	-71.4528923
102	-19.1101984083	-71.4774629509
103	-19.2952044674	-71.5021629372
104	-19.4801419558	-71.5269904867
105	-19.6650102164	-71.5519438369
106	-19.8498085921	-71.5770212341
107	-20.0345364261	-71.6022209342
108	-20.2191930621	-71.6275412022
109	-20.4037778438	-71.6529803125
110	-20.5882901152	-71.6785365486
111	-20.7727292206	-71.7042082032
112	-20.9570945046	-71.7299935782
113	-21.1413853119	-71.7558909846
114	-21.3256009877	-71.7818987428
115	-21.5097408772	-71.8080151821
116	-21.6938043261	-71.8342386409
117	-21.8777906804	-71.860567467
118	-22.061699286	-71.887000017
119	-22.2455294895	-71.9135346568
120	-22.4292806375	-71.9401697614
121	-22.6129520771	-71.9669037147
122	-22.7965431555	-71.9937349099
123	-22.9800532204	-72.0206617491
124	-23.1634816194	-72.0476826436
125	-23.3468277009	-72.0747960137
126	-23.5300908131	-72.1020002888
127	-23.7132703049	-72.1292939072
128	-23.8963655253	-72.1566753165
129	-24.0793758235	-72.1841429732
130	-24.2623005492	-72.2116953428
131	-24.4451390524	-72.2393308999
132	-24.6278906832	-72.2670481283
133	-24.8105547922	-72.2948455205
134	-24.9931307303	-72.3227215784
135	-25.1756178486	-72.3506748127
136	-25.3580154987	-72.3787037432
137	-25.5403230322	-72.4068068987
138	-25.7225398014	-72.4349828172
139	-25.9046651587	-72.4632300456
140	-26.0866984568	-72.4915471398
141	-26.2686390489	-72.5199326647
142	-26.4504862883	-72.5483851946
143	-26.6322395289	-72.5769033123
144	-26.8138981247	-72.60548561
145	-26.9954614301	-72.6341306889
146	-27.1769287999	-72.6628371591
147	-27.3582995893	-72.6916036398
148	-27.5395731536	-72.7204287594
149	-27.7207488487	-72.749311155
150	-27.9018260307	-72.778249473
151	-28.0828040562	-72.8072423687
152	-28.2636822818	-72.8362885067
153	-28.4444600649	-72.8653865602
154	-28.6251367631	-72.8945352117
155	-28.8057117341	-72.9237331528
156	-28.9861843364	-72.952979084
157	-29.1665539285	-72.9822717148
158	-29.3468198695	-73.0116097639
159	-29.5269815186	-73.0409919587
160	-29.7070382358	-73.070417036
161	-29.8869893811	-73.0998837414
162	-30.066834315	-73.1293908296
163	-30.2465723983	-73.1589370643
164	-30.4262029924	-73.1885212181
165	-30.6057254588	-73.2181420727
166	-30.7851391596	-73.2477984189
167	-30.9644434572	-73.2774890563
168	-31.1436377143	-73.3072127936
169	-31.3227212942	-73.3369684486
170	-31.5016935605	-73.3667548477
171	-31.680553877	-73.3965708266
172	-31.8593016083	-73.42641523
173	-32.037936119	-73.4562869113
174	-32.2164567743	-73.4861847331
175	-32.3948629399	-73.5161075667
176	-32.5731539816	-73.5460542925
177	-32.7513292659	-73.5760237997
178	-32.9293881597	-73.6060149867
179	-33.10733003	-73.6360267604
180	-33.2851542446	-73.6660580368
181	-33.4628601715	-73.6961077408
182	-33.6404471792	-73.726174806
183	-33.8179146366	-73.7562581752
184	-33.995261913	-73.7863567996
185	-34.1724883781	-73.8164696396
186	-34.3495934022	-73.8465956642
187	-34.5265763558	-73.8767338511
188	-34.70343661	-73.9068831872
189	-34.8801735363	-73.9370426677
190	-35.0567865065	-73.9672112969
191	-35.2332748931	-73.9973880876
192	-35.4096380688	-74.0275720614
193	-35.5858754069	-74.0577622486
194	-35.7619862811	-74.0879576883
195	-35.9379700655	-74.118157428
196	-36.1138261347	-74.1483605241
197	-36.2895538638	-74.1785660414
198	-36.4651526283	-74.2087730536
199	-36.6406218041	-74.2389806426
200	-36.8159607676	-74.2691878991
201	-36.9911688958	-74.2993939223
202	-37.166245566	-74.32959782
203	-37.341190156	-74.3597987083
204	-37.5160020442	-74.3899957119
205	-37.6906806091	-74.4201879638
206	-37.8652252302	-74.4503746056
207	-38.0396352871	-74.4805547873
208	-38.2139101599	-74.510727667
209	-38.3880492295	-74.5408924115
210	-38.5620518768	-74.5710481956
211	-38.7359174836	-74.6011942025
212	-38.9096454319	-74.6313296237
213	-39.0832351044	-74.661453659
214	-39.2566858842	-74.6915655162
215	-39.4299971549	-74.7216644114
216	-39.6031683005	-74.7517495688
217	-39.7761987057	-74.7818202207
218	-39.9490877555	-74.8118756075
219	-40.1218348356	-74.8419149776
220	-40.294439332	-74.8719375876
221	-40.4669006314	-74.9019427018
222	-40.6392181208	-74.9319295927
223	-40.8113911879	-74.9618975406
224	-40.9834192208	-74.9918458335
225	-41.1553016082	-75.0217737677
226	-41.3270377392	-75.0516806469
227	-41.4986270035	-75.0815657827
228	-41.6700687914	-75.1114284946
229	-41.8413624935	-75.1412681097
230	-42.0125075012	-75.1710839626
231	-42.1835032062	-75.2008753957
232	-42.3543490009	-75.2306417592
233	-42.525044278	-75.2603824104
234	-42.6955884311	-75.2900967145
235	-42.8659808539	-75.3197840441
236	-43.0362209411	-75.3494437791
237	-43.2063080875	-75.3790753069
238	-43.3762416888	-75.4086780223
239	-43.546021141	-75.4382513275
240	-43.7156458408	-75.4677946318
241	-43.8851151853	-75.4973073518
242	-44.0544285724	-75.5267889114
243	-44.2235854003	-75.5562387417
244	-44.3925850678	-75.5856562807
245	-44.5614269745	-75.6150409737
246	-44.7301105202	-75.6443922729
247	-44.8986351054	-75.6737096376
248	-45.0670001314	-75.7029925341
249	-45.2352049998	-75.7322404355
250	-45.4032491128	-75.7614528218
251	-45.5711318732	-75.7906291798
252	-45.7388526844	-75.8197690032
253	-45.9064109503	-75.8488717924
254	-46.0738060756	-75.8779370544
255	-46.2410374653	-75.9069643029
256	-46.4081045251	-75.9359530584
257	-46.5750066613	-75.9649028476
258	-46.7417432807	-75.9938132041
259	-46.9083137909	-76.0226836678
260	-47.0747175999	-76.051513785
261	-47.2409541162	-76.0803031084
262	-47.4070227492	-76.1090511971
263	-47.5729229087	-76.1377576165
264	-47.7386540051	-76.1664219383
265	-47.9042154494	-76.1950437402
266	-48.0696066533	-76.2236226063
267	-48.234827029	-76.2521581266
268	-48.3998759894	-76.2806498974
269	-48.5647529478	-76.3090975208
270	-48.7294573185	-76.3375006051
271	-48.8939885159	-76.3658587644
272	-49.0583459556	-76.3941716187
273	-49.2225290532	-76.4224387938
274	-49.3865372255	-76.4506599213
275	-49.5503698895	-76.4788346387
276	-49.714026463	-76.506962589
277	-49.8775063645	-76.5350434209
278	-50.0408090129	-76.5630767889
279	-50.2039338279	-76.5910623528
280	-50.3668802298	-76.618999778
281	-50.5296476395	-76.6468887355
282	-50.6922354787	-76.6747289015
283	-50.8546431694	-76.7025199578
284	-51.0168701346	-76.7302615912
285	-51.1789157977	-76.7579534942
286	-51.3407795828	-76.7855953643
287	-51.5024609147	-76.8131869042
288	-51.6639592189	-76.8407278217
289	-51.8252739214	-76.8682178298
290	-51.986404449	-76.8956566466
291	-52.1473502289	-76.9230439949
292	-52.3081106894	-76.9503796029
293	-52.4686852589	-76.9776632034
294	-52.629073367	-77.004894534
295	-52.7892744436	-77.0320733375
296	-52.9492879194	-77.0591993611
297	-53.1091132257	-77.0862723569
298	-53.2687497947	-77.1132920816
299	-53.4281970588	-77.1402582966
300	-53.5874544516	-77.167170768
301	-53.7465214071	-77.1940292661
302	-53.90539736	-77.2208335661
303	-54.0640817456	-77.2475834474
304	-54.222574	-77.274278694
305	-54.38087356	-77.3009190939
306	-54.5389798631	-77.3275044399
307	-54.6968923473	-77.3540345288
308	-54.8546104515	-77.3805091616
309	-55.0121336152	-77.4069281436
310	-55.1694612786	-77.4332912842
311	-55.3265928825	-77.459598397
312	-55.4835278686	-77.4858492995
313	-55.6402656792	-77.5120438132
314	-55.7968057572	-77.5381817638
315	-55.9531475463	-77.5642629807
316	-56.109290491	-77.5902872972
317	-56.2652340363	-77.6162545505
318	-56.4209776281	-77.6421645817
319	-56.5765207129	-77.6680172354
320	-56.7318627379	-77.6938123601
321	-56.887003151	-77.719549808
322	-57.0419414009	-77.7452294348
323	-57.1966769371	-77.7708510999
324	-57.3512092096	-77.796414666
325	-57.5055376693	-77.8219199997
326	-57.6596617676	-77.8473669707
327	-57.813580957	-77.8727554524
328	-57.9672946903	-77.8980853213
329	-58.1208024214	-77.9233564576
330	-58.2741036046	-77.9485687444
331	-58.4271976953	-77.9737220683
